STE;DATE;COMPTE;Auxiliaire;n°pièce;OBJET;D;C;Journal;Analytique
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002785;;153,50;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002793;;27,70;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002816;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002881;;1797,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002887;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002905;;1316,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002918;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002947;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002950;;1322,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002955;;901,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002974;;43,80;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14002999;;538,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003002;;1907,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003035;;599,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003036;;1557,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003034;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003049;;658,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003071;;666,00;CEBOOBA;
DLM;07/04/2026;580010DS5;;JOURNEE DU 07/04/2026;14003083;;658,00;CEBOOBA;
